#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
119,SIC250217,山景服務處|(S),活動|(E),(補差額)慶回歸愉快一天遊(代收心之景社)|(SIC250217),2025-08-17 (開始)|2025-08-17 (結束),09:00 (開始)|17:00 (結束),日,1 (堂數)|0 (停課)|8 小時 0 分 (時長)|,,,SK|(SK4),1 人,$70.00 (課程)|$170.00 (非會員)|,,學生數: 1
120,SIC250216,山景服務處|(S),興趣班組|(IC),(黃乙蘭/高秀葵/歐子粦/鄭美英)成人毛筆書法課程-入門班|(SIC250216),2025-09-03 (開始)|2025-11-19 (結束),10:30 (開始)|12:00 (結束),三,10 (堂數)|2 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),4 人,$475.00 (課程)|$575.00 (非會員)|,,學生數: 3
121,SIC250215,山景服務處|(S),興趣班組|(IC),成人水彩畫課程(優惠課程)|(SIC250215),2025-09-04 (開始)|2025-11-06 (結束),10:00 (開始)|12:00 (結束),四,10 (堂數)|0 (停課)|2 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 7
122,SIC250214,山景服務處|(S),興趣班組|(IC),(個別)初級瑜伽課程A(三)|(SIC250214),2025-08-20 (開始)|2025-09-10 (結束),09:15 (開始)|10:30 (結束),三,4 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$180.00 (課程)|$280.00 (非會員)|,,學生數: 1
123,SIC250213,山景服務處|(S),興趣班組|(IC),明珠國語金曲班|(SIC250213),2025-08-25 (開始)|2025-11-17 (結束),14:00 (開始)|15:30 (結束),一,12 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),25 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 17
124,SIC250212,山景服務處|(S),興趣班組|(IC),養生詠春拳進階班(優惠課程)|(SIC250212),2025-09-15 (開始)|2025-11-17 (結束),15:30 (開始)|16:30 (結束),一,8 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$80.00 (課程)|$180.00 (非會員)|,,學生數: 12
125,SIC250211,山景服務處|(S),興趣班組|(IC),兒童珠心算A|(SIC250211),2025-08-09 (開始)|2025-08-30 (結束),13:00 (開始)|14:00 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),10 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 3
126,SIC250210,山景服務處|(S),興趣班組|(IC),合唱團表演班|(SIC250210),2025-10-03 (開始)|2025-12-19 (結束),10:00 (開始)|12:00 (結束),五,10 (堂數)|2 (停課)|2 小時 0 分 (時長)|,,,龍逸社區會堂會議室|(SK6),21 人,$250.00 (課程)|$350.00 (非會員)|,,學生數: 19
127,SIC250209,山景服務處|(S),興趣班組|(IC),輕鬆健體瑜伽課程E(三)|(SIC250209),2025-09-24 (開始)|2025-11-26 (結束),20:30 (開始)|21:45 (結束),三,8 (堂數)|2 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),15 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 7
128,SIC250208,山景服務處|(S),興趣班組|(IC),(孔俊軒)電鋼琴班(日)（12:00 - 12:30）|(SIC250208),2025-08-10 (開始)|2025-08-31 (結束),12:00 (開始)|12:30 (結束),日,4 (堂數)|0 (停課)|30 分 (時長)|,,,活動室|(SK3),1 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 1
129,SIC250207,山景服務處|(S),興趣班組|(IC),兒童武術班 |(SIC250207),2025-08-05 (開始)|2025-09-02 (結束),17:30 (開始)|18:30 (結束),二,4 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),10 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 3
130,SIC250206,山景服務處|(S),興趣班組|(IC),兒童綜合畫班(優惠課程)|(SIC250206),2025-12-08 (開始)|2026-01-12 (結束),17:30 (開始)|18:30 (結束),一,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$450.00 (課程)|$550.00 (非會員)|,,學生數: 1
131,SIC250205,山景服務處|(S),興趣班組|(IC),府內派42式簡化太極拳|(SIC250205),2025-08-12 (開始)|2025-09-09 (結束),09:00 (開始)|10:00 (結束),"二, 四",8 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 17
132,SIC250204,山景服務處|(S),興趣班組|(IC),(舊生優先)蘇州鼓|(SIC250204),2025-08-28 (開始)|2025-10-16 (結束),17:45 (開始)|19:00 (結束),四,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),14 人,$160.00 (課程)|$260.00 (非會員)|,,學生數: 12
133,SIC250203,山景服務處|(S),興趣班組|(IC),懷舊國語金曲班|(SIC250203),2025-08-27 (開始)|2025-12-03 (結束),15:30 (開始)|17:00 (結束),三,8 (堂數)|7 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),30 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 20
134,SIC250202,山景服務處|(S),興趣班組|(IC),成人拉丁舞|(SIC250202),2025-09-09 (開始)|2025-11-04 (結束),20:30 (開始)|21:45 (結束),二,8 (堂數)|1 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 11
135,SIC250201,山景服務處|(S),興趣班組|(IC),養生佛掌拳班(長者)(優惠課程)|(SIC250201),2025-10-14 (開始)|2025-12-16 (結束),08:00 (開始)|09:00 (結束),二,10 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 12
136,SIC250200,山景服務處|(S),興趣班組|(IC),中國水墨畫|(SIC250200),2025-09-16 (開始)|2025-11-11 (結束),10:00 (開始)|11:30 (結束),二,8 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),8 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 7
137,SIC250199,山景服務處|(S),興趣班組|(IC),初級瑜伽課程K(一)|(SIC250199),2025-08-25 (開始)|2025-10-20 (結束),19:15 (開始)|20:30 (結束),一,8 (堂數)|1 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 13
138,SIC250198,山景服務處|(S),興趣班組|(IC),數學精讀班|(SIC250198),2025-07-19 (開始)|2025-08-09 (結束),10:30 (開始)|11:30 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),7 人,$240.00 (課程)|$340.00 (非會員)|,,學生數: 1
139,SIC250197,山景服務處|(S),興趣班組|(IC),(個別)成人毛筆書法課程|(SIC250197),2025-07-30 (開始)|2025-09-03 (結束),14:00 (開始)|15:30 (結束),三,5 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),1 人,$238.00 (課程)|$338.00 (非會員)|,,學生數: 1
140,SIC250196,山景服務處|(S),興趣班組|(IC),(個別)成人毛筆書法課程|(SIC250196),2025-07-23 (開始)|2025-09-03 (結束),14:00 (開始)|15:30 (結束),三,6 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),2 人,$285.00 (課程)|$385.00 (非會員)|,,學生數: 2
