#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
29,SIC250258,山景服務處|(S),興趣班組|(IC),成人水彩畫課程(優惠課程)|(SIC250258),2025-11-13 (開始)|2026-01-29 (結束),10:00 (開始)|12:00 (結束),四,10 (堂數)|2 (停課)|2 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 7
31,SIC250256,山景服務處|(S),興趣班組|(IC),忘憂鼓|(SIC250256),2025-11-12 (開始)|2026-01-14 (結束),14:00 (開始)|15:00 (結束),三,10 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),15 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 13
32,SIC250253,山景服務處|(S),興趣班組|(IC),中國水墨畫|(SIC250253),2025-11-18 (開始)|2026-01-06 (結束),10:00 (開始)|11:30 (結束),二,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),8 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 6
34,SIC250250,山景服務處|(S),興趣班組|(IC),養生詠春拳進階班(優惠課程)|(SIC250250),2025-11-24 (開始)|2026-01-26 (結束),15:30 (開始)|16:30 (結束),一,8 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$80.00 (課程)|$180.00 (非會員)|,,學生數: 11
36,SIC250247,山景服務處|(S),興趣班組|(IC),流行粵語金曲合唱表演班(三)|(SIC250247),2025-10-15 (開始)|2025-12-24 (結束),10:30 (開始)|12:00 (結束),三,10 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 17
37,SIC250244,山景服務處|(S),興趣班組|(IC),(轉班忘憂鼓)成人中國舞|(SIC250244),2025-10-14 (開始)|2025-12-02 (結束),14:00 (開始)|15:30 (結束),二,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),1 人,$220.00 (課程)|$320.00 (非會員)|,,學生數: 1
38,SIC250243,山景服務處|(S),興趣班組|(IC),成人中國舞|(SIC250243),2025-10-14 (開始)|2025-12-02 (結束),14:00 (開始)|15:30 (結束),二,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),15 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 0
39,SIC250242,山景服務處|(S),興趣班組|(IC),口琴課程初班|(SIC250242),2025-11-12 (開始)|2025-12-03 (結束),16:00 (開始)|17:00 (結束),三,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 0
41,SIC250239,山景服務處|(S),興趣班組|(IC),數學精讀班(優惠課程)|(SIC250239),2025-11-15 (開始)|2025-12-06 (結束),09:30 (開始)|10:30 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),7 人,$240.00 (課程)|$340.00 (非會員)|,,學生數: 5
42,SIC250238,山景服務處|(S),興趣班組|(IC),英文精讀班(優惠課程)|(SIC250238),2025-11-15 (開始)|2025-12-06 (結束),10:30 (開始)|11:30 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),7 人,$240.00 (課程)|$340.00 (非會員)|,,學生數: 3
43,SIC250233,山景服務處|(S),興趣班組|(IC),成人國畫班初班|(SIC250233),2025-10-10 (開始)|2025-11-28 (結束),19:30 (開始)|21:00 (結束),五,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),8 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 0
46,SIC250222,山景服務處|(S),興趣班組|(IC),(林希朗/黃浚熙)I LOVE PHONICS B(高班)(優惠課程)|(SIC250222),2025-11-06 (開始)|2025-12-11 (結束),17:30 (開始)|18:30 (結束),四,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),2 人,$620.00 (課程)|$720.00 (非會員)|,,學生數: 1
48,SIC250210,山景服務處|(S),興趣班組|(IC),合唱團表演班|(SIC250210),2025-10-03 (開始)|2025-12-19 (結束),10:00 (開始)|12:00 (結束),五,10 (堂數)|2 (停課)|2 小時 0 分 (時長)|,,,龍逸社區會堂會議室|(SK6),21 人,$250.00 (課程)|$350.00 (非會員)|,,學生數: 19
52,SIC250193,山景服務處|(S),興趣班組|(IC),(60歲以下人士)太極劍(優惠課程)|(SIC250193),2025-09-25 (開始)|2026-01-15 (結束),15:00 (開始)|16:15 (結束),四,10 (堂數)|7 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$270.00 (課程)|$370.00 (非會員)|,,學生數: 0
54,SIC250186,山景服務處|(S),興趣班組|(IC),(退款/轉班)(長者)八段錦(優惠課程)|(SIC250186),2025-10-15 (開始)|2025-11-26 (結束),15:00 (開始)|16:00 (結束),三,6 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$180.00 (課程)|$280.00 (非會員)|,,學生數: 2
