#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
1,SIC250308,山景服務處|(S),興趣班組|(IC),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),2025-12-04 (開始)|2026-01-22 (結束),16:30 (開始)|17:30 (結束),四,6 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),11 人,$530.00 (課程)|$630.00 (非會員)|,,學生數: 0
2,SIC250307,山景服務處|(S),興趣班組|(IC),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250307),2025-12-04 (開始)|2026-01-22 (結束),16:30 (開始)|17:30 (結束),四,6 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),5 人,$530.00 (課程)|$630.00 (非會員)|,,學生數: 0
3,SIC250305,山景服務處|(S),興趣班組|(IC),(黃金枝)電鋼琴班(日)|(SIC250305),2025-11-23 (開始)|2025-12-14 (結束),11:00 (開始)|11:30 (結束),日,4 (堂數)|0 (停課)|30 分 (時長)|,,,活動室|(SK3),1 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 1
4,SFP250027,山景服務處|(S),活動|(E),譚仔三哥「線有善報」活動|(SFP250027),2025-11-18 (開始)|2025-11-18 (結束),19:00 (開始)|20:00 (結束),二,1 (堂數)|0 (停課)|1 小時 0 分 (時長)|,是,屯門鄉事會路112-140號雅都商場1樓S21-S23號舖,,57 人,$0.00 (課程)|$100.00 (非會員)|,,學生數: 57
5,SIC250304,山景服務處|(S),興趣班組|(IC),(林佑希)電鋼琴班(日)|(SIC250304),2025-11-23 (開始)|2025-12-14 (結束),10:30 (開始)|11:00 (結束),日,4 (堂數)|0 (停課)|30 分 (時長)|,,,活動室|(SK3),1 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 1
6,SIC250303,山景服務處|(S),興趣班組|(IC),府內派42式簡化太極拳|(SIC250303),2025-11-18 (開始)|2025-12-11 (結束),09:00 (開始)|10:00 (結束),"二, 四",8 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),25 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 14
7,SIC250301,山景服務處|(S),興趣班組|(IC),兒童珠心算A|(SIC250301),2025-12-06 (開始)|2025-12-27 (結束),13:00 (開始)|14:00 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),10 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 1
8,SIC250300,山景服務處|(S),興趣班組|(IC),初級瑜伽課程H(四)|(SIC250300),2025-12-04 (開始)|2026-02-05 (結束),19:15 (開始)|20:30 (結束),四,8 (堂數)|2 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 2
9,SIC260002,山景服務處|(S),興趣班組|(IC),柔道班|(SIC260002),2026-01-03 (開始)|2026-03-07 (結束),20:00 (開始)|21:30 (結束),六,10 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),10 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 0
10,SIC250298,山景服務處|(S),興趣班組|(IC),兒童硬筆書法班(優惠課程)|(SIC250298),2025-12-06 (開始)|2026-01-10 (結束),14:30 (開始)|15:30 (結束),六,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$450.00 (課程)|$550.00 (非會員)|,,學生數: 0
11,SIC250297,山景服務處|(S),興趣班組|(IC),(長者)健體八段錦(優惠課程)|(SIC250297),2025-11-26 (開始)|2025-12-31 (結束),17:00 (開始)|18:00 (結束),三,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$180.00 (課程)|$280.00 (非會員)|,,學生數: 0
12,SIC250296,山景服務處|(S),興趣班組|(IC),普通話會話班|(SIC250296),2025-11-24 (開始)|2025-12-15 (結束),14:00 (開始)|15:00 (結束),一,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),10 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 0
13,SIC250295,山景服務處|(S),興趣班組|(IC),成人鉛筆素描課程(優惠課程)|(SIC250295),2026-01-09 (開始)|2026-03-13 (結束),10:00 (開始)|12:00 (結束),五,10 (堂數)|0 (停課)|2 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 0
14,SIC250292,山景服務處|(S),興趣班組|(IC),成人羽毛球B(優惠課程)|(SIC250292),2025-11-18 (開始)|2025-12-09 (結束),14:00 (開始)|16:00 (結束),二,4 (堂數)|0 (停課)|2 小時 0 分 (時長)|,,,禮堂|(SK1),6 人,$320.00 (課程)|$420.00 (非會員)|,,學生數: 5
15,SIC250291,山景服務處|(S),興趣班組|(IC),自選歌曲唱歌班|(SIC250291),2025-12-04 (開始)|2026-02-05 (結束),13:30 (開始)|15:00 (結束),四,8 (堂數)|2 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),20 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 1
16,SIC250289,山景服務處|(S),興趣班組|(IC),養生佛掌拳班(長者)(優惠課程)|(SIC250289),2025-12-23 (開始)|2026-03-03 (結束),08:00 (開始)|09:00 (結束),二,10 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 0
17,SIC250288,山景服務處|(S),興趣班組|(IC),初級瑜伽課程K(一)|(SIC250288),2026-01-05 (開始)|2026-02-23 (結束),19:15 (開始)|20:30 (結束),一,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 0
18,SIC260001,山景服務處|(S),興趣班組|(IC),(長者)太極劍(優惠課程)|(SIC260001),2026-01-22 (開始)|2026-04-02 (結束),15:00 (開始)|16:15 (結束),四,10 (堂數)|1 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$250.00 (課程)|$350.00 (非會員)|,,學生數: 2
19,SIC25009,山景服務處|(S),興趣班組|(IC),成人國畫課程(優惠課程)|(SIC25009),2025-12-09 (開始)|2025-12-30 (結束),14:30 (開始)|16:30 (結束),二,4 (堂數)|0 (停課)|2 小時 0 分 (時長)|,是,屯門栢麗廣埸16樓1616室,,10 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 0
20,SIC250282,山景服務處|(S),興趣班組|(IC),(舊生優先)成人羽毛球A(優惠課程)|(SIC250282),2025-11-28 (開始)|2025-12-19 (結束),14:00 (開始)|16:00 (結束),五,4 (堂數)|0 (停課)|2 小時 0 分 (時長)|,,,禮堂|(SK1),6 人,$320.00 (課程)|$420.00 (非會員)|,,學生數: 2
21,SIC250281,山景服務處|(S),興趣班組|(IC),輕鬆健體瑜伽課程I(二)|(SIC250281),2025-12-02 (開始)|2026-01-20 (結束),19:15 (開始)|20:30 (結束),二,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),10 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 0
22,SPC25001,山景服務處|(S),專業課程|(PC),兒童發展基礎證書課程|(SPC25001),2025-11-21 (開始)|2026-01-23 (結束),10:00 (開始)|12:00 (結束),五,9 (堂數)|1 (停課)|2 小時 0 分 (時長)|,是,屯門栢麗廣埸16樓1616室,,10 人,"$3,800.00 (課程)|$3,900.00 (非會員)|",,學生數: 0
23,SIC25007,山景服務處|(S),興趣班組|(IC),少兒綜合書法課程(優惠課程)|(SIC25007),2025-11-22 (開始)|2025-12-13 (結束),11:00 (開始)|12:00 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,是,屯門栢麗廣埸16樓1616室,,10 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 0
24,SIC25006,山景服務處|(S),興趣班組|(IC),少兒綜合畫課程(優惠課程)|(SIC25006),2025-11-22 (開始)|2025-12-13 (結束),09:30 (開始)|10:30 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,是,屯門栢麗廣埸16樓1616室,,10 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 0
